,BC,O3,PM2.5,MERRA2-BC
2019-01-18 03,3.0,15.06,53.9,2.14186354160309
2019-01-18 04,0.93,16.1,39.91,2.022904973030092
2019-01-18 05,1.14,17.09,37.5,1.9116915464401256
2019-01-18 06,0.9,13.24,38.91,1.3929105949401854
2019-01-18 07,1.09,7.66,43.22,1.341854190826416
2019-01-18 08,2.2,9.99,44.82,1.3149030637741086
2019-01-18 09,1.76,12.57,55.59,1.371208777427673
2019-01-18 10,1.27,13.15,59.69,1.592179684638977
2019-01-18 11,,,,1.8317589998245245
2019-01-18 12,,,,2.056913437843324
2019-01-18 13,,,,2.286216144561769
2019-01-18 14,,,,2.5166458225250263
2019-01-18 15,,,,2.711024246215823
2019-01-18 16,,,,2.89343390464783
2019-01-18 17,,,,3.0549615383148225
2019-01-18 18,,,,3.2139723587036166
2019-01-18 19,,,,3.3784819793701213
2019-01-18 20,,,,3.5672205734252977
2019-01-18 21,,,,3.783679971694952
2019-01-18 22,,,,4.013127708435065
2019-01-18 23,,,,4.234354114532478
2019-01-19 00,,,,4.056310062408454
2019-01-19 01,,,,2.458838481903079
2019-01-19 02,,,,1.908886938095095
2019-01-19 03,,,,1.687913017272951
2019-01-19 04,,,,1.331118392944337
2019-01-19 05,,,,1.1339402294158942
2019-01-19 06,,,,1.1617340183258058
2019-01-19 07,,,,1.0180519580841063
2019-01-19 08,,,,0.9353062820434568
2019-01-19 09,,,,0.9687028336524964
2019-01-19 10,,,,1.1646807479858403
2019-01-19 11,,,,1.3768294763565072
2019-01-19 12,,,,1.5891964960098282
2019-01-19 13,,,,1.7957063055038478
2019-01-19 14,,,,1.9514846181869543
2019-01-19 15,,,,2.0046354198455854
2019-01-19 16,,,,2.025371999740605
2019-01-19 17,,,,2.0564949226379445
2019-01-19 18,,,,2.096367034912115
2019-01-19 19,,,,2.1340931558609064
2019-01-19 20,,,,2.1665436887741145
2019-01-19 21,,,,2.19237354278565
2019-01-19 22,,,,2.2292626810073912
2019-01-19 23,,,,2.2877068519592343
2019-01-20 00,,,,2.260530920028692
2019-01-20 01,,,,1.3323554086685196
2019-01-20 02,,,,0.8797549176216137
2019-01-20 03,,,,0.8151891732215892
2019-01-20 04,,,,0.6986647582054146
2019-01-20 05,,,,0.6575011610984809
2019-01-20 06,,,,0.6647223877906804
2019-01-20 07,,,,0.6599567055702212
2019-01-20 08,,,,0.7257768917083738
2019-01-20 09,,,,0.9651011848449694
2019-01-20 10,,,,1.4347824907302835
2019-01-20 11,,,,1.9702929592132552
2019-01-20 12,,,,2.551751108169556
2019-01-20 13,,,,2.739907341003418
2019-01-20 14,,,,2.860470037460328
2019-01-20 15,,,,2.967026472091676
2019-01-20 16,,,,3.021559715270997
2019-01-20 17,,,,2.9787405776977547
2019-01-20 18,,,,2.935739812850952
2019-01-20 19,,,,3.0552840042114253
2019-01-20 20,,,,3.257010059356689
2019-01-20 21,,,,3.477908172607421
2019-01-20 22,,,,3.725655231475828
2019-01-20 23,,,,4.073736705780027
2019-01-21 00,,,,4.534376773834225
2019-01-21 01,,,,5.059628047943112
2019-01-21 02,,,,5.432520999908443
2019-01-21 03,,,,4.3305044746398895
2019-01-21 04,,,,4.346875782012938
2019-01-21 05,,,,4.176764316558837
2019-01-21 06,,,,3.336062870025636
2019-01-21 07,,,,3.1640592384338397
2019-01-21 08,,,,3.072346153259278
2019-01-21 09,,,,3.119785184860231
2019-01-21 10,,,,3.318127641677858
2019-01-21 11,,,,3.51501512527466
2019-01-21 12,,,,3.6972050189971934
2019-01-21 13,,,,3.8604777145385767
2019-01-21 14,,,,4.002795238494876
2019-01-21 15,,,,4.118810548782352
2019-01-21 16,,,,4.177381944656376
2019-01-21 17,,,,4.213725738525394
2019-01-21 18,,,,4.294925003051761
2019-01-21 19,,,,4.4037022399902375
2019-01-21 20,,,,4.534232149124149
2019-01-21 21,,,,4.630055789947514
2019-01-21 22,,,,4.688482418060307
2019-01-21 23,,,,4.757967891693119
2019-01-22 00,,,,4.782996253967289
2019-01-22 01,,,,4.299727535247804
2019-01-22 02,,,,3.937458572387696
2019-01-22 03,,,,3.471068296432495
2019-01-22 04,,,,3.3820470142364503
2019-01-22 05,,,,3.2608661079406738
2019-01-22 06,,,,3.771784095764161
2019-01-22 07,,,,3.692513761520387
2019-01-22 08,,,,3.670469064712527
2019-01-22 09,,,,3.738278713226321
