,BC,O3,PM2.5,MERRA2-BC
2020-02-02 23,,,,2.043762836456304
2020-02-03 00,,,190.61,2.0568405723571823
2020-02-03 01,,,182.61,1.4593939352035543
2020-02-03 02,,,96.54,1.0639661216735845
2020-02-03 03,,,89.23,1.0267299604415894
2020-02-03 04,,,89.97,1.1289965009689331
2020-02-03 05,,,84.08,1.294836368560791
2020-02-03 06,,,93.39,1.8027458000183116
2020-02-03 07,,,113.2,1.891676263809205
2020-02-03 08,,,97.51,2.056804141998292
2020-02-03 09,,,69.47,2.276065053939819
2020-02-03 10,,,57.36,2.6071939373016333
2020-02-03 11,,,59.84,2.9730657291412315
2020-02-03 12,,,87.37,3.344685115814206
2020-02-03 13,,,89.28,3.568421192169188
2020-02-03 14,,,95.96,3.8913281822204615
2020-02-03 15,,,84.25,3.473687791824343
2020-02-03 16,,,33.73,3.069108295440675
2020-02-03 17,,,5.91,2.825837049484253
2020-02-03 18,,,,2.699162197113037
2020-02-03 19,,,3.87,2.699382066726685
2020-02-03 20,,,3.71,2.897797851562501
2020-02-03 21,,,4.41,3.012574100494387
2020-02-03 22,,,4.13,2.8998337936401377
2020-02-03 23,,,,2.896996154785157
2020-02-04 00,,,,2.840861167907715
2020-02-04 01,,,7.37,2.6940690517425527
2020-02-04 02,,,5.0,2.6718410301208486
2020-02-04 03,,,4.58,2.911256093978882
2020-02-04 04,,,2.61,2.9545481204986577
2020-02-04 05,,,4.22,2.924498615264893
2020-02-04 06,,,5.25,2.7335044956207293
2020-02-04 07,,,2.8,2.659289913177492
2020-02-04 08,,,3.47,2.6022837734222426
2020-02-04 09,,,6.93,2.655251626968385
2020-02-04 10,,,,2.8297296142578143
2020-02-04 11,,,9.48,3.039097242355349
2020-02-04 12,,,9.8,3.20946137428284
2020-02-04 13,,,7.02,3.3563992118835486
2020-02-04 14,,,6.51,3.487402839660649
2020-02-04 15,,,,3.548193502426152
2020-02-04 16,,,8.45,3.506538724899296
2020-02-04 17,,,11.15,3.35399807929993
2020-02-04 18,,,16.16,3.2418392658233666
2020-02-04 19,,,12.97,3.170935077667238
2020-02-04 20,,,12.84,3.1398667812347427
2020-02-04 21,,,13.23,3.152636280059816
2020-02-04 22,,,13.71,3.099085206985475
2020-02-04 23,,,,3.179120750427248
2020-02-05 00,,,10.73,3.0367304229736343
2020-02-05 01,,,9.01,2.8725851726532
2020-02-05 02,,,,2.9312292480468765
2020-02-05 03,,,9.42,2.613852243423464
2020-02-05 04,,,13.78,2.533998813629152
2020-02-05 05,,,16.35,2.422640686035157
2020-02-05 06,,,14.93,2.504966688156129
2020-02-05 07,,,15.25,2.4233308792114263
2020-02-05 08,,,12.59,2.431007404327393
2020-02-05 09,,,,2.5286863613128663
2020-02-05 10,,,15.94,2.7764327621459963
2020-02-05 11,,,13.91,3.0685987567901614
2020-02-05 12,,,,3.3995820713043217
2020-02-05 13,,,11.74,3.558416213989258
2020-02-05 14,,,14.81,3.450222673416138
2020-02-05 15,,,18.67,3.435779972076417
2020-02-05 16,,,18.13,3.545246744155885
2020-02-05 17,,,14.85,3.6850543785095233
2020-02-05 18,,,27.78,3.8399229335784937
2020-02-05 19,,,36.47,3.972709760665897
2020-02-05 20,,,39.04,4.098947753906254
2020-02-05 21,,,41.9,4.207505178451543
2020-02-05 22,,,37.83,4.2906335449218815
2020-02-05 23,,,,4.38005642890931
2020-02-06 00,,,43.24,4.404865055084238
2020-02-06 01,,,43.33,4.170398311615001
2020-02-06 02,,,46.79,4.711659145355239
2020-02-06 03,,,54.31,4.958492460250864
2020-02-06 04,,,83.22,3.4940602970123344
2020-02-06 05,,,111.38,2.349916486740114
2020-02-06 06,,,133.73,2.1179584312438977
2020-02-06 07,,,119.51,1.7515431785583506
2020-02-06 08,,,91.25,1.5634230709075938
2020-02-06 09,,,91.23,1.571515884399415
2020-02-06 10,,,86.34,1.7352983951568617
2020-02-06 11,,,69.59,1.9056646490097064
2020-02-06 12,,,52.38,2.078886785507205
2020-02-06 13,,,43.36,2.117486038208011
2020-02-06 14,,,40.3,2.0050926542282137
2020-02-06 15,,,42.57,1.9878648328781168
2020-02-06 16,,,33.0,2.0258899259567302
2020-02-06 17,,,35.61,2.018596863746648
2020-02-06 18,,,38.26,1.9889588975906425
2020-02-06 19,,,44.77,1.968082585334783
2020-02-06 20,,,41.6,1.9346315813064623
2020-02-06 21,,,,1.9007911729812668
2020-02-06 22,,,38.28,1.9526871633529697
2020-02-06 23,,,,2.100759739875796
2020-02-07 00,,,32.78,2.296801805496217
2020-02-07 01,,,32.26,2.394081544876099
2020-02-07 02,,,40.11,2.452362623214722
2020-02-07 03,,,43.7,2.5000922489166277
2020-02-07 04,,,40.6,2.407076015472413
2020-02-07 05,,,36.03,2.3251521682739265
2020-02-07 06,,,32.59,2.4601468181610118
2020-02-07 07,,,34.49,2.3719985580444343
2020-02-07 08,,,37.8,2.3451501941680912
2020-02-07 09,,,35.94,2.4535256671905525
2020-02-07 10,,,34.67,2.705091943740846
2020-02-07 11,,,41.3,2.9743023109436053
2020-02-07 12,,,51.08,3.216264553070071
2020-02-07 13,,,61.18,3.416899108886722
2020-02-07 14,,,69.55,3.5633643054962203
2020-02-07 15,,,77.26,3.5782068347930958
2020-02-07 16,,,83.27,3.5318954277038617
2020-02-07 17,,,81.64,3.507084836959842
2020-02-07 18,,,93.94,3.514433097839359
2020-02-07 19,,,105.62,3.49911716461182
2020-02-07 20,,,116.95,3.507193431854251
2020-02-07 21,,,107.47,3.53331451416016
2020-02-07 22,,,89.58,3.584901199340824
2020-02-07 23,,,,3.620517377853397
2020-02-08 00,,,62.52,3.515416612625126
2020-02-08 01,,,62.96,3.217364854812625
2020-02-08 02,,,58.11,3.0678240585327177
2020-02-08 03,,,,3.0906817722320583
2020-02-08 04,,,27.97,2.8803378486633324
2020-02-08 05,,,22.02,2.644094514846804
2020-02-08 06,,,22.19,1.911594185829163
2020-02-08 07,,,,1.914413566589356
2020-02-08 08,,,23.8,1.937260332107544
2020-02-08 09,,,,2.066990404129029
2020-02-08 10,,,21.57,2.3016400909423838
2020-02-08 11,,,24.83,2.519154930114748
2020-02-08 12,,,18.74,2.697925357818605
2020-02-08 13,,,14.52,2.843881750106813
2020-02-08 14,,,11.18,2.967646627426149
2020-02-08 15,,,7.5,3.0634361362457296
2020-02-08 16,,,8.92,3.097819242477419
2020-02-08 17,,,13.09,3.12008969306946
2020-02-08 18,,,9.51,3.1290784740448023
2020-02-08 19,,,6.8,3.121259269714358
2020-02-08 20,,,6.2,3.0921939849853546
2020-02-08 21,,,6.06,3.0456300258636504
2020-02-08 22,,,5.5,2.98520470619202
2020-02-08 23,,,,2.896658000946048
2020-02-09 00,,,6.92,2.7335408973693878
2020-02-09 01,,,10.95,2.3833492088317887
2020-02-09 02,,,9.0,2.1330583477020277
2020-02-09 03,,,13.2,1.9156686496734625
2020-02-09 04,,,4.71,1.8756364822387697
2020-02-09 05,,,2.38,1.866708126068116
2020-02-09 06,,,2.99,1.8315222501754764
2020-02-09 07,,,2.23,1.8364701175689704
2020-02-09 08,,,,1.8485486555099493
2020-02-09 09,,,3.33,1.929965906143189
2020-02-09 10,,,3.75,2.140586709976197
2020-02-09 11,,,3.91,2.370761613845826
2020-02-09 12,,,3.74,2.5704503536224377
2020-02-09 13,,,3.09,2.755587100982668
2020-02-09 14,,,2.84,2.934793901443484
2020-02-09 15,,,3.68,3.108943872451785
2020-02-09 16,,,,3.2931348037719763
2020-02-09 17,,,8.96,3.484419803619389
2020-02-09 18,,,12.46,3.685054197311407
2020-02-09 19,,,15.0,3.886598339080817
2020-02-09 20,,,10.9,4.084068183898933
2020-02-09 21,,,12.75,4.276735181808479
2020-02-09 22,,,16.52,4.462053632736214
2020-02-09 23,,,,4.616922378540047
2020-02-10 00,,,12.06,4.135363216400152
2020-02-10 01,,,13.0,2.760644111633304
2020-02-10 02,,,16.74,2.225789127349856
2020-02-10 03,,,19.94,2.102115168571474
2020-02-10 04,,,20.59,1.8772334527969377
2020-02-10 05,,,20.53,1.6855847024917618
2020-02-10 06,,,17.25,1.3879980421066291
2020-02-10 07,,,19.29,1.2906457757949834
2020-02-10 08,,,24.32,1.254611525535584
2020-02-10 09,,,25.57,1.3257885837554937
2020-02-10 10,,,34.13,1.5296791315078742
2020-02-10 11,,19.66,39.74,1.734006199836732
2020-02-10 12,1.75,28.81,51.15,1.8964601469039932
2020-02-10 13,2.1,34.22,58.64,1.9470280027389548
2020-02-10 14,2.16,34.96,64.58,1.8807258844375636
2020-02-10 15,2.61,15.01,58.29,1.8648461914062524
2020-02-10 16,2.54,5.93,56.76,1.9043363857269315
2020-02-10 17,2.42,6.04,67.9,1.957287178039554
2020-02-10 18,2.37,6.78,71.41,2.015458712577823
2020-02-10 19,2.1,4.01,78.46,2.071538038253788
2020-02-10 20,2.11,3.48,80.53,2.1204873132705733
2020-02-10 21,2.28,2.11,83.55,2.1635241937637377
2020-02-10 22,1.89,2.08,85.37,2.224679188728338
2020-02-10 23,1.64,2.76,,2.319648494720465
2020-02-11 00,1.85,1.99,90.17,2.088127555847173
2020-02-11 01,1.56,2.82,86.76,1.2717936801910428
2020-02-11 02,1.44,1.01,81.75,0.8588102388381974
2020-02-11 03,1.34,0.05,70.05,0.8549705147743241
2020-02-11 04,1.64,0.0,63.45,0.7190112972259535
2020-02-11 05,1.66,0.03,71.07,0.6514834785461436
2020-02-11 06,1.99,0.0,69.44,0.5848460268974313
2020-02-11 07,2.15,0.0,66.92,0.5513993394374854
2020-02-11 08,2.67,0.64,71.34,0.5296169316768654
2020-02-11 09,2.5,5.33,81.57,0.5516448962688454
2020-02-11 10,2.73,18.87,68.78,0.6610389351844799
2020-02-11 11,1.81,25.35,58.41,0.7682865428924572
2020-02-11 12,1.37,36.03,39.85,0.8571532750129713
2020-02-11 13,1.02,37.07,32.8,0.9284940576553362
2020-02-11 14,1.31,36.99,35.89,1.021226432323458
2020-02-11 15,1.15,30.39,39.69,1.090629642009738
2020-02-11 16,1.47,25.79,33.82,1.2075816082954438
2020-02-11 17,2.31,17.45,43.47,1.3360659670829809
2020-02-11 18,5.0,11.0,68.48,1.4615762352943464
2020-02-11 19,2.74,8.57,117.98,1.5472233724594164
2020-02-11 20,2.36,6.0,81.86,1.671142163276678
2020-02-11 21,2.05,4.13,64.79,1.8050832796096867
2020-02-11 22,2.08,2.58,59.36,1.9265921854972912
2020-02-11 23,1.95,2.07,,2.0369234395027243
2020-02-12 00,1.85,2.14,58.27,1.9890025353431784
2020-02-12 01,1.85,3.82,56.54,1.0635283851623578
2020-02-12 02,1.59,3.37,60.12,0.683028646707537
2020-02-12 03,1.74,2.43,53.98,0.6937807512283342
2020-02-12 04,1.76,3.13,55.03,0.7269501185417186
2020-02-12 05,1.93,2.05,49.52,0.7251677584648141
2020-02-12 06,2.21,0.3,63.34,1.1649717140197762
2020-02-12 07,2.47,1.55,76.6,1.0573330402374277
2020-02-12 08,2.03,2.27,80.98,0.973022985458375
2020-02-12 09,2.09,3.32,84.67,0.9395263028144848
2020-02-12 10,2.25,5.21,91.73,0.996552095413209
2020-02-12 11,2.39,8.94,80.12,1.067065680027009
2020-02-12 12,2.11,15.39,80.51,1.115804445743562
2020-02-12 13,2.19,26.02,72.76,1.1996964550018323
2020-02-12 14,2.34,30.03,79.83,1.2923925924301167
2020-02-12 15,2.92,37.67,112.1,1.41262753248215
2020-02-12 16,25.02,18.31,126.99,1.5587474775314365
2020-02-12 17,4.06,7.15,137.66,1.7340642690658612
2020-02-12 18,4.86,1.63,130.6,1.947816004753118
2020-02-12 19,1.47,7.92,65.7,2.200256552696234
2020-02-12 20,1.56,11.3,44.28,2.4904066848754955
2020-02-12 21,1.37,7.99,41.49,2.772813038825997
2020-02-12 22,0.94,11.9,34.2,2.9811967658996674
2020-02-12 23,0.89,16.32,,3.1859066200256447
2020-02-13 00,1.74,12.56,37.4,3.257555317878734
2020-02-13 01,1.29,13.55,42.96,2.4162728285789585
2020-02-13 02,1.41,14.7,48.92,1.7626192021369995
2020-02-13 03,1.47,13.14,66.31,1.1275278759002707
2020-02-13 04,1.8,12.86,72.41,1.0630720686912554
2020-02-13 05,2.35,5.64,83.24,1.026601638793947
2020-02-13 06,2.48,1.03,114.35,1.212338228225709
2020-02-13 07,2.81,1.11,113.03,1.2169222879409798
2020-02-13 08,3.15,6.03,105.13,1.2808963775634776
2020-02-13 09,2.52,9.27,91.87,1.4251419830322285
2020-02-13 10,1.99,12.47,96.53,1.6098061847686795
2020-02-13 11,3.08,18.17,89.34,1.6477510929107702
2020-02-13 12,3.16,12.19,114.38,1.5410029363632245
2020-02-13 13,2.26,5.09,81.27,1.3598064184188878
2020-02-13 14,1.24,8.48,57.96,1.298878870010379
2020-02-13 15,,14.64,36.29,1.3655709981918367
2020-02-13 16,,11.21,34.12,1.5007593798637426
2020-02-13 17,,5.04,28.95,1.66903434991837
2020-02-13 18,,8.48,20.24,1.8991341018676813
2020-02-13 19,,13.26,26.54,2.201759362220771
2020-02-13 20,,12.52,25.66,2.5554436111450283
2020-02-13 21,,9.13,26.23,2.9465267992019752
2020-02-13 22,,8.2,28.18,3.3307896804809687
2020-02-13 23,,9.83,28.97,3.6669953727722295
2020-02-14 00,,11.33,26.79,3.808127055168165
2020-02-14 01,,10.64,49.0,2.766755862236033
2020-02-14 02,,8.64,57.29,2.2286815214157176
2020-02-14 03,,6.39,54.12,2.4350098657608106
2020-02-14 04,,6.14,52.5,2.1320955276489317
2020-02-14 05,,1.27,54.97,2.0021842098236124
2020-02-14 06,,0.0,61.52,2.440428943634036
2020-02-14 07,,0.0,64.26,2.312044610977174
2020-02-14 08,,0.49,52.7,2.2809035587310795
2020-02-14 09,,5.72,29.43,2.3849134349823
2020-02-14 10,,7.88,22.46,2.614763584136965
2020-02-14 11,,9.66,39.49,2.6566426229476976
2020-02-14 12,,24.56,46.55,2.4331894111633368
2020-02-14 13,,36.24,41.11,2.180368485450752
2020-02-14 14,,41.8,28.8,2.0753127002716143
2020-02-14 15,,39.51,26.55,2.152255616188058
2020-02-14 16,,35.74,26.05,2.376527812480936
2020-02-14 17,,21.48,25.07,2.688285150527965
2020-02-14 18,,20.06,24.72,3.0525741910934574
2020-02-14 19,,19.92,28.29,3.4600280666351453
2020-02-14 20,,17.39,29.87,3.881851692199721
2020-02-14 21,,12.64,34.94,4.305585212707534
2020-02-14 22,,11.08,33.33,4.619033670425429
2020-02-14 23,,11.12,43.18,4.836549644470227
2020-02-15 00,,14.81,37.51,4.902613840103161
2020-02-15 01,,15.6,36.36,4.277468271255503
2020-02-15 02,,14.89,34.0,3.1722881984710773
2020-02-15 03,,13.95,34.19,2.7493661832809497
2020-02-15 04,,9.99,35.64,2.424568958282474
2020-02-15 05,,5.45,36.66,2.2687958431243924
2020-02-15 06,,4.13,40.3,2.338422842025759
2020-02-15 07,,3.39,40.21,2.2359856176376365
2020-02-15 08,,6.56,43.02,2.1901162815094013
2020-02-15 09,,13.41,39.89,2.2279715776443503
2020-02-15 10,,27.12,46.55,2.3202430152893085
2020-02-15 11,,41.44,43.97,2.4016301059722918
2020-02-15 12,,58.99,39.49,2.5426885318756103
2020-02-15 13,,60.31,39.4,2.7996978187561035
2020-02-15 14,,59.0,36.49,2.804147386550905
2020-02-15 15,,54.03,30.21,2.547901868820193
2020-02-15 16,,38.57,23.42,2.1540813922882105
2020-02-15 17,,32.4,,1.7752818584442154
2020-02-15 18,,,,1.5192349624633796
2020-02-15 19,,,,1.420017485618592
2020-02-15 20,,,,1.34234642982483
2020-02-15 21,,,,1.2977541828155528
2020-02-15 22,,,,1.3107197093963636
2020-02-15 23,,,,1.3444580602645888
2020-02-16 00,,,,1.334047021865846
2020-02-16 01,,,,1.2414252424240122
2020-02-16 02,,,,1.155717225074769
2020-02-16 03,,,,1.051748867034913
2020-02-16 04,,,,1.0396450972557074
2020-02-16 05,,,,1.0558552145957951
2020-02-16 06,,,,0.986556651592255
2020-02-16 07,,,,1.021746618747711
2020-02-16 08,,,,1.0799225807189945
2020-02-16 09,,,,1.2074536180496216
2020-02-16 10,,,,1.4585137653350837
2020-02-16 11,,,,1.6649539613723765
2020-02-16 12,,,,1.8061990165710464
2020-02-16 13,,,,1.917158727645876
2020-02-16 14,,,,2.018355112075808
2020-02-16 15,,,,2.1078632593154936
2020-02-16 16,,,,2.18873648643494
2020-02-16 17,,,,2.2904192829132115
2020-02-16 18,,,,2.403892364501957
2020-02-16 19,,,,2.5022153568267864
2020-02-16 20,,,,2.534237270355229
2020-02-16 21,,,,2.516426720619205
2020-02-16 22,,,,2.4865995693206817
2020-02-16 23,,,,2.4685252571105982
2020-02-17 00,,,,2.205889978408815
2020-02-17 01,,,,1.7479827308654787
2020-02-17 02,,,,1.4353257560729982
2020-02-17 03,,,,1.253975911140442
2020-02-17 04,,,,1.142714734077454
2020-02-17 05,,,,1.0833635139465334
2020-02-17 06,,,,1.0994892787933352
2020-02-17 07,,,,1.1176818847656254
2020-02-17 08,,,,1.15853988647461
2020-02-17 09,,,,1.243244214057923
2020-02-17 10,,,,1.466782250404359
2020-02-17 11,,,,1.7281943416595476
2020-02-17 12,,,,1.9830260610580468
2020-02-17 13,,,,2.2307558488845856
2020-02-17 14,,,,2.4524198532104533
2020-02-17 15,,,,2.5755816698074394
2020-02-17 16,,,,2.6369379472732604
2020-02-17 17,,,,2.6912382888794006
2020-02-17 18,,,,2.7611169338226382
2020-02-17 19,,,,2.873663501739508
2020-02-17 20,,,,3.02266198635102
2020-02-17 21,,,,3.1638067245483468
2020-02-17 22,,,,3.128960151672369
2020-02-17 23,,,,3.1278756523132376
2020-02-18 00,,,,3.049281311035161
2020-02-18 01,,,,2.3016062831878688
2020-02-18 02,,,,1.7313924312591569
2020-02-18 03,,,,1.520057010650636
2020-02-18 04,,,,1.3491637182235725
2020-02-18 05,,,,1.295394744873047
2020-02-18 06,,,,1.2550118160247803
2020-02-18 07,,,,1.2748579978942869
2020-02-18 08,,,,1.3082736015319818
2020-02-18 09,,,,1.3848164463043209
2020-02-18 10,,,,1.563300385475158
2020-02-18 11,,,,1.804956288337707
2020-02-18 12,,,,1.99223062992096
2020-02-18 13,,,,2.130080699920655
2020-02-18 14,,,,2.2335093069076555
2020-02-18 15,,,,2.3293347930908226
2020-02-18 16,,,,2.448200430870059
2020-02-18 17,,,,2.6053695011138958
2020-02-18 18,,,,2.799463310241704
2020-02-18 19,,,,3.0326985931396537
2020-02-18 20,,,,3.314759654998785
2020-02-18 21,,,,3.650094156265266
2020-02-18 22,,,,4.038857927322396
2020-02-18 23,,,,4.461755504608163
2020-02-19 00,,,,4.435863027572641
2020-02-19 01,,,,2.61931473731995
2020-02-19 02,,,,1.7613359546661391
2020-02-19 03,,,,1.91217625141144
2020-02-19 04,,,,1.7422828197479263
2020-02-19 05,,,,1.6087327527999895
2020-02-19 06,,,,1.6207202243804957
2020-02-19 07,,,,1.500073232650759
2020-02-19 08,,,,1.4150382423400902
2020-02-19 09,,,,1.4065713405609153
2020-02-19 10,,,,1.5486220502853418
2020-02-19 11,,,,1.6993065929412867
2020-02-19 12,,,,1.8364707422256497
2020-02-19 13,,,,1.9694302415847809
2020-02-19 14,,,,2.0945031738281283
2020-02-19 15,,70.18,,2.153958063125614
2020-02-19 16,,63.94,51.18,2.1174583101272613
2020-02-19 17,,51.11,52.39,2.1278036832809475
2020-02-19 18,,33.58,61.53,2.135809159278872
2020-02-19 19,,32.47,64.09,2.1525509691238427
2020-02-19 20,,33.43,61.85,2.1999302768707296
2020-02-19 21,,30.58,56.34,2.2596941041946432
2020-02-19 22,,16.28,59.41,2.3559914970397973
2020-02-19 23,,8.72,64.49,2.4644771099090605
2020-02-20 00,,14.8,61.24,
2020-02-20 01,,29.74,42.81,
2020-02-20 02,,33.13,35.76,
2020-02-20 03,,35.55,36.87,
2020-02-20 04,,31.66,37.45,
2020-02-20 05,,28.82,40.15,
2020-02-20 06,,17.86,46.62,
2020-02-20 07,,6.28,68.21,
2020-02-20 08,,2.77,86.34,
2020-02-20 09,,4.81,104.27,
2020-02-20 10,,7.82,109.9,
2020-02-20 11,,13.51,117.99,
2020-02-20 12,,27.57,112.05,
2020-02-20 13,,35.68,105.89,
2020-02-20 14,,36.81,106.49,
2020-02-20 15,,35.67,109.41,
2020-02-20 16,,33.6,114.49,
2020-02-20 17,,29.84,118.89,
2020-02-20 18,,24.28,136.83,
2020-02-20 19,,18.18,152.74,
2020-02-20 20,,16.63,159.86,
2020-02-20 21,,10.75,143.86,
2020-02-20 22,,6.48,153.14,
2020-02-20 23,,7.16,,
2020-02-21 00,,8.42,157.38,1.7244383001327548
2020-02-21 01,,8.68,143.77,1.019761991500856
2020-02-21 02,,10.64,131.76,0.7996831917762768
2020-02-21 03,,9.25,129.84,0.6627851700782783
2020-02-21 04,,10.67,127.87,0.5851248908042908
2020-02-21 05,,6.61,127.09,0.6028831791877743
2020-02-21 06,,3.06,127.24,0.9655195426940912
2020-02-21 07,,2.08,128.04,0.9895847845077508
2020-02-21 08,,4.76,127.39,1.0516850948333731
2020-02-21 09,,5.36,117.21,1.183289184570312
2020-02-21 10,,4.13,119.35,1.4273431968688963
2020-02-21 11,,10.79,127.99,1.6680707836151123
2020-02-21 12,,11.84,132.13,1.8925350904464728
2020-02-21 13,,21.75,129.29,2.099555478096009
2020-02-21 14,,34.36,127.35,2.306667585372926
2020-02-21 15,,37.03,121.64,2.528759288787843
2020-02-21 16,,36.75,121.05,2.762827033996583
2020-02-21 17,,31.93,127.73,2.989255208969117
2020-02-21 18,,18.92,147.73,3.1553653144836438
2020-02-21 19,,8.08,171.64,3.26214005470276
2020-02-21 20,,5.33,179.97,3.3729528808593763
2020-02-21 21,,2.84,173.49,3.4701226139068626
2020-02-21 22,,0.43,165.62,3.5441559028625518
2020-02-21 23,,1.97,155.17,3.6074205970764175
2020-02-22 00,,3.59,143.84,3.354434938430788
2020-02-22 01,,6.71,123.85,2.813650074005128
2020-02-22 02,,4.44,128.56,2.339477481842042
2020-02-22 03,,6.47,134.77,2.5530245399475118
2020-02-22 04,,1.05,123.01,2.167912693023682
2020-02-22 05,,4.83,119.97,1.9362842845916737
2020-02-22 06,,5.62,114.98,2.015767984390256
2020-02-22 07,,6.86,134.7,1.9768871021270704
2020-02-22 08,,8.38,149.21,2.0713603591918885
2020-02-22 09,,14.25,151.58,2.273009166717522
2020-02-22 10,,14.45,174.62,2.6165802192687906
2020-02-22 11,,17.27,166.86,3.000896949768058
2020-02-22 12,,38.41,143.99,3.3549452018737704
2020-02-22 13,,59.51,128.32,3.688332538604728
2020-02-22 14,,69.83,111.77,4.003745803832999
2020-02-22 15,,68.52,107.99,4.306714744567862
2020-02-22 16,,64.07,103.98,4.609549064636221
2020-02-22 17,,53.44,104.1,4.916448345184316
2020-02-22 18,,50.64,115.04,5.230467720031727
2020-02-22 19,,34.69,131.0,5.560144329071031
2020-02-22 20,,5.07,137.05,5.935444488525376
2020-02-22 21,,0.19,157.45,6.311022338867173
2020-02-22 22,,0.02,159.0,6.633784179687488
2020-02-22 23,,0.0,,6.917983627319326
2020-02-23 00,,0.0,178.36,6.486952781677239
2020-02-23 01,,0.0,184.69,3.852838344573973
2020-02-23 02,,0.0,212.85,2.331690235137941
2020-02-23 03,,0.0,228.47,1.865246253013613
2020-02-23 04,,0.0,206.0,1.5391379070282003
2020-02-23 05,,0.0,218.56,1.3115829753875752
2020-02-23 06,,0.0,147.56,0.9865197730064404
2020-02-23 07,,1.01,120.11,0.9478116989135752
2020-02-23 08,,3.81,112.16,0.9300948524475108
2020-02-23 09,,12.57,115.84,0.9711402773857124
2020-02-23 10,,38.69,141.63,1.1545490193367016
2020-02-23 11,,70.62,100.85,1.327953901290895
2020-02-23 12,,76.61,93.11,1.4687430763244644
2020-02-23 13,,81.56,76.12,1.5978928041458147
2020-02-23 14,,74.76,62.73,1.7481262445449848
2020-02-23 15,,67.66,41.15,1.9340957736969016
2020-02-23 16,,47.65,25.18,2.168419814109805
2020-02-23 17,,43.97,24.01,2.4366119194030795
2020-02-23 18,,38.38,27.89,2.7156112575531046
2020-02-23 19,,39.19,35.92,3.0028128433227588
2020-02-23 20,,37.02,41.0,3.295075569152838
2020-02-23 21,,34.82,46.39,3.5907217693328923
2020-02-23 22,,38.17,41.77,3.900461168289192
2020-02-23 23,,43.12,,4.223263168334969
2020-02-24 00,,42.48,39.17,3.3634206199646077
2020-02-24 01,,42.66,40.97,1.7491630840301542
2020-02-24 02,,43.92,39.91,1.343132662773134
2020-02-24 03,,48.9,38.0,1.3383599901199337
2020-02-24 04,,40.88,46.38,1.24045238494873
2020-02-24 05,,31.59,67.5,1.1847233676910396
2020-02-24 06,,22.0,78.11,1.807984890937805
2020-02-24 07,,16.99,67.64,1.6495888996124266
2020-02-24 08,,31.25,113.64,1.5192425394058229
2020-02-24 09,,35.74,27.22,1.4462076425552368
2020-02-24 10,,45.3,28.79,1.5134224653244022
2020-02-24 11,,49.57,30.58,1.5953526115417485
2020-02-24 12,,46.58,33.26,1.6832385444641118
2020-02-24 13,,51.34,32.26,1.7983654260635384
2020-02-24 14,,52.81,29.86,1.9523075628280653
2020-02-24 15,,51.37,27.85,2.138466958999636
2020-02-24 16,,46.24,38.1,2.355944237709048
2020-02-24 17,,39.9,34.24,2.588088779449466
2020-02-24 18,,30.09,25.01,2.806592016220097
2020-02-24 19,,26.71,25.2,3.023240327835088
2020-02-24 20,,21.67,31.74,3.239593267440802
2020-02-24 21,,23.83,29.32,3.4325821495056226
2020-02-24 22,,24.85,27.6,3.577669658660897
2020-02-24 23,,19.31,32.43,3.669128017425547
2020-02-25 00,,12.92,34.77,2.713514528274543
2020-02-25 01,,10.1,34.9,1.523371124267581
2020-02-25 02,,10.5,34.97,1.152053697109224
2020-02-25 03,,11.87,36.49,1.8222817754745493
2020-02-25 04,,13.04,35.95,1.536791648864747
2020-02-25 05,,13.97,56.23,1.3996222019195566
2020-02-25 06,,10.49,50.0,1.3584212684631356
2020-02-25 07,,14.09,36.32,1.3333920001983652
2020-02-25 08,,16.0,49.47,1.324660825729371
2020-02-25 09,,18.58,48.99,1.36016748905182
2020-02-25 10,,24.17,39.96,1.516764435768129
2020-02-25 11,,29.55,27.58,1.6646303319931048
2020-02-25 12,,31.91,24.04,1.7682580327987691
2020-02-25 13,,37.2,23.69,1.8519504213333151
2020-02-25 14,,38.79,24.02,1.9467403507232688
2020-02-25 15,,37.82,24.19,2.072725272178652
2020-02-25 16,,32.33,34.15,2.232414469718936
2020-02-25 17,,31.6,33.43,2.4027807569503814
2020-02-25 18,,28.27,32.58,2.5771808099746742
2020-02-25 19,,25.3,31.7,2.7388541126251265
2020-02-25 20,,23.1,30.99,2.8784477996826223
2020-02-25 21,,20.04,34.7,3.012359380722052
2020-02-25 22,,21.21,35.42,3.1456222724914613
2020-02-25 23,,21.52,,3.281214237213142
2020-02-26 00,,15.12,33.79,2.4048130893707325
2020-02-26 01,,3.78,35.44,1.2701641345024128
2020-02-26 02,,0.73,39.18,0.9167711830139172
2020-02-26 03,,0.11,42.89,1.4904627180099497
2020-02-26 04,,8.02,37.17,1.3403051376342785
2020-02-26 05,,9.16,37.42,1.260470366477967
2020-02-26 06,,5.05,42.37,1.12943316936493
2020-02-26 07,,5.83,38.64,1.1401194000244146
2020-02-26 08,,14.0,39.25,1.1786110687255864
2020-02-26 09,,20.35,44.41,1.2596885633468633
2020-02-26 10,,30.78,40.88,1.4626397418975838
2020-02-26 11,,39.96,38.69,1.6702174234390268
2020-02-26 12,,48.75,26.62,1.852496042251588
2020-02-26 13,,45.05,22.77,2.0055869245529188
2020-02-26 14,,35.93,25.46,2.138774886131288
2020-02-26 15,,38.23,35.43,2.2170974445343035
