datetime,lat,lon,cluster
2019-10-16 06:00:00,21.041,105.937,1
2019-10-18 06:00:00,21.1,105.959,1
2019-10-18 18:00:00,21.026,105.914,1
2019-10-19 06:00:00,21.042,105.895,1
2019-10-19 18:00:00,20.987,105.884,1
2019-10-20 06:00:00,20.99,105.9,1
2019-10-28 06:00:00,21.111,105.923,1
2019-10-28 18:00:00,21.169,105.95,1
2019-10-29 06:00:00,21.203,105.866,1
2019-10-29 18:00:00,21.118,105.915,1
2019-10-30 06:00:00,21.11,105.929,1
2019-10-30 18:00:00,21.153,105.891,1
2019-10-31 06:00:00,21.128,105.885,1
2019-10-31 18:00:00,21.111,105.872,1
2019-11-01 06:00:00,21.083,105.888,1
2019-11-01 18:00:00,21.041,105.91,1
2019-11-02 06:00:00,21.029,105.926,1
2019-11-02 18:00:00,21.077,105.88,1
2019-11-03 06:00:00,21.104,105.897,1
2019-11-03 18:00:00,21.125,105.882,1
2019-11-04 06:00:00,21.132,105.841,1
2019-11-04 18:00:00,21.125,105.882,1
2019-11-05 06:00:00,21.067,105.898,1
2019-11-05 18:00:00,21.017,105.888,1
2019-11-06 06:00:00,20.976,105.839,1
2019-11-06 18:00:00,21.075,105.912,1
2019-11-07 06:00:00,21.144,105.975,1
2019-11-07 18:00:00,21.097,105.879,1
2019-11-08 06:00:00,21.048,105.936,1
2019-11-08 18:00:00,21.041,105.84,1
2019-11-09 06:00:00,20.979,105.874,1
2019-11-09 18:00:00,21.022,105.841,1
2019-11-10 06:00:00,21.06,105.948,1
2019-11-10 18:00:00,21.048,105.861,1
2019-11-11 06:00:00,21.001,105.834,1
2019-11-11 18:00:00,20.966,105.842,1
2019-11-12 06:00:00,20.945,105.859,1
2019-11-13 18:00:00,21.189,105.947,1
2019-11-14 06:00:00,21.158,105.892,1
2019-11-14 18:00:00,21.023,105.833,1
2019-11-15 06:00:00,20.909,105.808,1
2019-11-18 18:00:00,21.168,105.933,1
2019-11-19 06:00:00,21.089,105.897,1
2019-11-19 18:00:00,21.036,105.9,1
2019-11-20 06:00:00,21.023,105.822,1
2019-11-20 18:00:00,21.043,105.939,1
2019-11-21 06:00:00,21.04,105.915,1
2019-11-21 18:00:00,21.013,105.873,1
2019-11-22 06:00:00,20.921,105.856,1
2019-11-25 18:00:00,21.078,105.957,1
2019-11-26 06:00:00,21.006,105.908,1
2019-11-28 06:00:00,21.109,105.941,1
2019-11-28 18:00:00,21.032,105.929,1
2019-11-29 06:00:00,21.003,105.916,1
2019-12-01 18:00:00,21.19,105.999,1
2019-12-02 06:00:00,21.167,105.964,1
2019-12-02 18:00:00,21.144,105.938,1
2019-12-03 06:00:00,21.166,105.953,1
2019-12-03 18:00:00,21.148,105.873,1
2019-12-04 06:00:00,21.159,105.926,1
2019-12-04 18:00:00,21.2,105.895,1
2019-12-05 06:00:00,21.218,105.871,1
2019-12-05 18:00:00,21.204,105.959,1
2019-12-06 06:00:00,21.181,105.93,1
2019-12-06 18:00:00,21.176,105.952,1
2019-12-07 06:00:00,21.127,105.917,1
2019-12-07 18:00:00,21.109,105.903,1
2019-12-08 06:00:00,21.072,105.9,1
2019-12-08 18:00:00,21.096,105.879,1
2019-12-09 06:00:00,21.096,105.852,1
2019-12-09 18:00:00,21.059,105.844,1
2019-12-10 06:00:00,21.042,105.849,1
2019-12-10 18:00:00,21.056,105.887,1
2019-12-11 06:00:00,21.052,105.856,1
2019-12-11 18:00:00,20.977,105.826,1
2019-12-12 06:00:00,21.034,105.894,1
2019-12-26 18:00:00,21.147,105.977,1
2019-12-27 06:00:00,21.106,105.932,1
2019-12-27 18:00:00,21.027,105.891,1
2019-12-28 06:00:00,20.986,105.844,1
2019-12-28 18:00:00,20.979,105.802,1
2019-12-30 18:00:00,21.097,105.94,1
2019-12-31 06:00:00,21.114,105.959,1
2019-12-31 18:00:00,21.035,105.925,1
2019-01-02 17:00:00,21.218,106.034,1
2019-01-03 05:00:00,21.194,105.896,1
2019-01-03 17:00:00,21.066,105.901,1
2019-01-04 05:00:00,21.146,105.922,1
2019-01-04 17:00:00,21.017,105.939,1
2019-01-05 05:00:00,21.041,105.907,1
2019-01-05 17:00:00,21.045,106.078,1
2019-01-06 05:00:00,20.943,105.915,1
2019-01-08 17:00:00,21.105,106.153,1
2019-01-09 05:00:00,21.048,106.077,1
2019-01-09 17:00:00,21.001,105.996,1
2019-01-10 05:00:00,20.888,105.968,1
2019-01-15 17:00:00,21.192,106.13,1
2019-01-16 05:00:00,21.252,106.137,1
2019-01-16 17:00:00,21.199,105.995,1
2019-01-17 05:00:00,21.156,106.054,1
2019-01-17 17:00:00,20.985,105.954,1
2019-01-18 05:00:00,20.817,105.7,1
2019-01-21 05:00:00,21.183,106.189,1
2019-01-21 17:00:00,21.293,106.219,1
2019-01-22 05:00:00,21.087,105.934,1
2019-01-22 17:00:00,21.057,105.911,1
2019-01-23 05:00:00,20.906,105.888,1
2019-02-23 17:00:00,21.172,106.102,1
2019-02-24 05:00:00,20.964,106.118,1
2019-02-25 05:00:00,20.939,106.122,1
2019-03-06 17:00:00,21.039,106.019,1
2019-03-07 05:00:00,21.008,106.112,1
2019-03-07 17:00:00,21.019,106.041,1
2019-03-08 05:00:00,20.795,105.862,1
2019-03-10 05:00:00,21.072,106.013,1
2019-03-10 17:00:00,21.14,105.927,1
2019-03-11 05:00:00,21.01,105.92,1
2019-03-11 17:00:00,21.108,105.968,1
2019-03-12 05:00:00,20.888,105.985,1
2019-03-15 05:00:00,21.141,106.199,1
2019-03-15 17:00:00,21.032,106.097,1
2019-03-16 05:00:00,20.811,106.035,1
2019-03-23 05:00:00,21.262,106.195,1
2019-03-23 17:00:00,21.162,106.236,1
2019-03-24 05:00:00,20.929,106.155,1
2019-03-25 05:00:00,20.867,105.959,1
2019-04-16 17:00:00,21.003,105.957,1
2019-04-17 05:00:00,20.751,105.76,1
2019-05-01 05:00:00,21.031,106.008,1
2019-05-01 17:00:00,20.943,105.917,1
