2023-10-07 02:00:13.777903+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-07 02:00:15.048109+07:00,NgheAn,nghe-an,63,3,-,57,6,29,1008,84,1
2023-10-07 02:00:16.311065+07:00,BacGiang,bac-giang,79,11,54,31,5,29,1009,83,4
2023-10-07 02:00:00,US-Embassy,@8641,91,3.3,5.1,10.2,0.1,28,1009,88,3.6
2023-10-07 02:00:00,Hanoi,@1583,72,8,11,20,3,28,1009,88,3.6
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-07 02:00:00,LangSon,lang-son,75,9,NA,NA,1,26.4,977.7,85.1,1
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-07 02:00:00,CanTho,can-tho,17,NA,3,3,2,26,1010,100,1
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-07 02:00:00,CaoBang,cao-bang,40,9,NA,1,NA,26.7,982.4,78.7,2
2023-10-07 02:00:00,TayNinh,tay-ninh,NA,NA,3,5,1,27.7,1009.9,97.7,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-07 01:00:00,DaNang,da-nang,13,5,15,14,1,26,1008,94,2
2023-10-07 02:00:00,Hue,hue,6,1,11,11,8,26,1008,94,1.5
2023-10-07 02:00:00,NhaTrang,nha-trang,10,10,2,14,3,26,1010,88,1.5
2023-10-07 03:00:13.119396+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-07 03:00:14.253525+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-07 03:00:15.413615+07:00,NgheAn,nghe-an,48,4,-,58,6,27,1007,89,1
2023-10-07 03:00:16.552513+07:00,BacGiang,bac-giang,78,5,39,25,5,28,1009,88,3
2023-10-07 03:00:00,US-Embassy,@8641,107,3.3,5.5,10.2,0.1,28,1008,88,1.8
2023-10-07 03:00:00,Hanoi,@1583,74,8,12,20,3,28,1008,88,1.5
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-07 03:00:00,LangSon,lang-son,72,9,NA,NA,1,26.4,977.7,85.1,1
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-07 03:00:00,CanTho,can-tho,17,NA,2,3,2,26,1009,100,0.5
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-07 03:00:00,CaoBang,cao-bang,40,9,NA,1,NA,26.7,982.4,78.7,2
2023-10-07 03:00:00,TayNinh,tay-ninh,NA,NA,2,5,1,27.9,1009.6,93.2,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-07 03:00:00,DaNang,da-nang,14,5,16,13,1,26,1008,94,1.5
2023-10-07 03:00:00,Hue,hue,6,1,12,11,7,26,1008,94,1
2023-10-07 03:00:00,NhaTrang,nha-trang,10,10,2,14,3,26,1010,88,2.5
2023-10-07 04:00:13.379878+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-07 04:00:14.515677+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-07 04:00:15.793698+07:00,NgheAn,nghe-an,46,4,-,58,5,27,1007,89,1
2023-10-07 04:00:17.062981+07:00,BacGiang,bac-giang,76,6,31,24,5,28,1008,88,2
2023-10-07 04:00:00,US-Embassy,@8641,95,2.9,6.4,10.2,0.1,28,1009,88,2
2023-10-07 04:00:00,Hanoi,@1583,78,7,14,20,4,28,1009,88,2
2023-09-30 22:00:00,BacNinh,bac-ninh,50,5,6,5,3,27.5,1010,91,0.5
2023-09-20 09:00:00,HaiPhong,hai-phong,1,NA,NA,NA,NA,32,1010,66,3
2023-10-07 04:00:00,LangSon,lang-son,65,8,NA,NA,1,25.5,976.9,82.5,1
2023-07-16 18:00:00,HoChiMinh,ho-chi-minh-city,53,NA,NA,NA,NA,28,1005,94,3.6
2023-10-07 04:00:00,CanTho,can-tho,16,NA,1,3,2,26,1009,100,1
2023-10-05 19:00:00,Pleiku,gia-lai,20,2,NA,6,4,26.8,921.6,77.8,1
2023-10-07 04:00:00,CaoBang,cao-bang,39,8,NA,1,NA,26.7,982.4,78.7,2
2023-10-07 04:00:00,TayNinh,tay-ninh,NA,NA,2,5,1,27.6,1009.4,97.7,1
2023-09-20 08:00:00,SonLa,son-la,2,NA,NA,NA,NA,27.8,936.7,73.4,3
2023-10-06 13:00:00,HaiDuong,hai-duong,NA,NA,1,NA,13,34,1007,59,3.6
2023-10-07 04:00:00,DaNang,da-nang,15,5,16,13,1,26,1008,94,1.5
2023-10-07 04:00:00,Hue,hue,5,1,10,11,7,27,1009,83,2.5
2023-10-07 04:00:00,NhaTrang,nha-trang,12,10,2,14,3,26,1010,88,2
2023-10-07 05:00:12.146798+07:00,HaLong,quang-ninh,-,-,-,-,-,-,-,-,-
2023-10-07 05:00:13.280211+07:00,LaoCai,lao-cai,-,NA,NA,NA,NA,-,-,-,-
2023-10-07 05:00:14.688881+07:00,NgheAn,nghe-an,26,3,-,58,5,27,1007,92,1
2023-10-07 05:00:15.962576+07:00,BacGiang,bac-giang,-,-,-,-,-,-,-,-,-
2023-10-07 05:00:00,US-Embassy,@8641,97,2.9,8.3,10.2,0.1,28,1009,88,2.5
