Tstamp,station_ID,pm25,pm10,h,t
2024-01-03 18:56:59,A230383,131,53,46,23.3
2024-01-03 18:58:14,A230626,139,56,55,23.3
2024-01-03 18:57:04,A230443,95,38,53,23.3
2024-01-03 18:57:06,A231934,153,59,68,23.8
2024-01-03 18:55:20,A364435,156,59,49,23.3
2024-01-03 18:56:46,A358570,146,55,50,23.3
2024-01-03 18:57:23,A06487,151,57,57,25
2024-01-03 19:56:02,A230398,95,37,55,23.3
2024-01-03 19:55:00,A230383,158,62,52,22.7
2024-01-03 19:56:16,A230626,141,57,55,22.7
2024-01-03 19:56:38,A230443,100,41,53,23.3
2024-01-03 19:55:07,A231934,171,74,69,23.3
2024-01-03 19:55:21,A364435,164,66,50,23.3
2024-01-03 19:56:47,A358570,165,67,51,23.3
2024-01-03 19:55:24,A06487,167,68,58,24.4
2024-01-03 20:56:03,A230398,16,4,55,23.3
2024-01-03 20:57:01,A230383,158,62,55,22.7
2024-01-03 20:56:16,A230626,146,58,54,22.7
2024-01-03 20:56:53,A230443,104,42,53,23.3
2024-01-03 20:57:08,A231934,180,84,67,23.3
2024-01-03 20:53:32,A364435,167,69,50,23.3
2024-01-03 20:56:48,A358570,167,68,52,23.3
2024-01-03 20:55:25,A06487,199,103,60,24.4
2024-01-03 21:56:05,A230398,19,4,55,23.3
2024-01-03 21:57:03,A230383,170,73,53,23.3
2024-01-03 21:56:20,A230626,150,59,53,22.7
2024-01-03 21:56:40,A230443,129,50,51,23.3
2024-01-03 21:55:09,A231934,167,70,67,23.3
2024-01-03 21:53:33,A364435,160,63,51,22.7
2024-01-03 21:56:49,A358570,157,60,50,23.3
2024-01-03 21:57:26,A06487,157,60,58,24.4
2024-01-03 22:54:06,A230398,92,37,54,23.3
2024-01-03 22:55:04,A230383,166,70,51,22.7
2024-01-03 22:54:22,A230626,156,62,53,22.7
2024-01-03 22:54:45,A230443,106,44,51,23.3
2024-01-03 22:55:10,A231934,155,60,69,23.3
2024-01-03 22:53:43,A364435,167,70,52,22.7
2024-01-03 22:54:51,A358570,164,67,51,22.7
2024-01-03 22:57:27,A06487,169,71,60,24.4
2024-01-03 23:56:07,A230398,92,37,55,22.7
2024-01-03 23:57:04,A230383,160,64,52,22.7
2024-01-03 23:56:23,A230626,144,58,52,22.7
2024-01-03 23:56:42,A230443,113,46,54,22.7
2024-01-03 23:57:11,A231934,154,59,68,22.7
2024-01-03 23:57:44,A364435,154,58,51,20.5
2024-01-03 23:56:51,A358570,152,58,51,23.3
2024-01-03 23:57:28,A06487,151,57,59,23.8
2024-01-04 00:56:08,A230398,89,35,54,22.7
2024-01-04 00:57:05,A230383,152,59,51,22.2
2024-01-04 00:56:24,A230626,147,59,53,22.2
2024-01-04 00:56:43,A230443,89,35,52,22.7
2024-01-04 00:57:12,A231934,153,59,68,21.6
2024-01-04 00:57:45,A364435,152,57,51,22.2
2024-01-04 00:56:52,A358570,147,56,51,22.7
2024-01-04 00:57:29,A06487,150,56,59,23.8
2024-01-04 01:56:09,A230398,89,35,52,23.3
2024-01-04 01:55:06,A230383,158,63,50,22.7
2024-01-04 01:56:25,A230626,134,56,52,22.2
2024-01-04 01:54:44,A230443,94,38,52,22.7
2024-01-04 01:55:13,A231934,142,56,66,22.7
2024-01-04 01:55:46,A364435,150,55,51,22.7
2024-01-04 01:54:53,A358570,154,59,52,22.7
2024-01-04 01:55:30,A06487,151,57,59,23.8
2024-01-04 02:56:11,A230398,18,4,47,23.8
2024-01-04 02:57:07,A230383,151,58,49,22.7
2024-01-04 02:56:26,A230626,133,55,51,22.2
2024-01-04 02:56:45,A230443,85,33,50,22.2
2024-01-04 02:57:14,A231934,140,55,66,22.7
2024-01-04 02:53:47,A364435,141,54,51,22.2
2024-01-04 02:54:55,A358570,136,53,52,22.7
2024-01-04 02:57:31,A06487,151,57,59,23.8
2024-01-04 03:56:12,A230398,21,5,47,23.8
2024-01-04 03:57:08,A230383,151,58,50,22.2
2024-01-04 03:56:27,A230626,151,61,52,22.2
2024-01-04 03:56:46,A230443,90,35,53,22.7
2024-01-04 03:57:15,A231934,142,55,66,22.2
2024-01-04 03:57:47,A364435,150,55,52,22.2
2024-01-04 03:56:59,A358570,154,59,52,22.7
2024-01-04 03:57:32,A06487,151,57,60,23.8
2024-01-04 04:56:13,A230398,0,0,48,23.3
2024-01-04 04:57:09,A230383,141,55,50,22.2
2024-01-04 04:56:27,A230626,146,59,53,21.6
2024-01-04 04:56:47,A230443,87,34,53,22.2
2024-01-04 04:57:16,A231934,140,55,68,22.2
2024-01-04 04:55:48,A364435,148,55,51,22.2
2024-01-04 04:54:58,A358570,153,59,52,22.2
2024-01-04 04:57:33,A06487,136,53,59,23.3
2024-01-04 05:56:15,A230398,3,1,46,23.3
2024-01-04 05:57:10,A230383,155,60,50,22.2
2024-01-04 05:56:28,A230626,137,57,52,21.6
2024-01-04 05:56:50,A230443,91,36,52,22.2
